temperature,humidity,rainfall_mm,wind_speed,crop_type,growth_stage,previous_pest_occurrence,pest_risk,pest_type
12.88,40.88,0.0,5.5440000000000005,cotton,seedling,0,low,none
14.61,41.27,0.18,3.2760000000000002,sugarcane,maturity,0,low,none
12.63,63.39,3.18,2.952,rice,maturity,0,low,none
11.7,51.16,0.06,5.5440000000000005,cotton,flowering,0,medium,aphids
10.73,44.84,0.0,7.164,cotton,maturity,1,medium,aphids
12.12,47.31,0.0,5.976,sugarcane,vegetative,1,medium,pyrilla
12.0,48.88,0.0,5.472,rice,vegetative,1,medium,aphids
12.7,42.11,0.0,4.788,rice,flowering,1,high,aphids
11.99,38.11,0.0,3.9240000000000004,cotton,seedling,0,low,none
10.19,39.04,0.0,6.12,wheat,seedling,0,low,none
11.33,34.05,0.0,6.408,cotton,maturity,1,medium,aphids
13.76,30.42,0.0,3.8160000000000003,cotton,vegetative,0,low,none
12.47,41.03,0.28,4.968,cotton,seedling,1,low,none
11.33,71.69,8.6,6.336,cotton,flowering,0,medium,aphids
11.83,73.92,0.0,4.14,sugarcane,flowering,0,high,pyrilla
12.17,61.28,0.0,5.436,rice,vegetative,1,high,aphids
11.69,48.69,0.0,5.796,sugarcane,flowering,0,low,none
12.44,42.66,0.0,6.192,sugarcane,flowering,1,high,pyrilla
13.8,39.19,0.0,4.176,sugarcane,vegetative,1,medium,pyrilla
12.48,43.62,0.0,3.8880000000000003,cotton,maturity,1,medium,aphids
10.68,62.88,8.14,6.912,wheat,maturity,1,high,aphids
10.97,90.06,6.44,5.184,rice,flowering,0,medium,aphids
12.19,74.69,0.1,3.24,wheat,maturity,1,medium,aphids
12.23,64.14,0.0,5.292,sugarcane,maturity,0,low,none
11.83,53.45,0.0,4.644,sugarcane,flowering,0,medium,pyrilla
11.69,47.53,0.1,2.8440000000000003,wheat,maturity,0,low,none
10.47,51.64,0.06,4.788,wheat,flowering,0,medium,aphids
10.01,51.07,0.0,6.228,wheat,seedling,0,low,none
10.62,44.54,0.0,5.328,sugarcane,vegetative,0,low,none
10.77,45.8,0.0,7.344,sugarcane,vegetative,0,medium,pyrilla
12.16,42.35,0.0,5.976,rice,maturity,1,medium,aphids
14.33,40.01,0.0,4.392,rice,maturity,0,low,none
15.0,46.94,3.61,4.068,sugarcane,maturity,1,medium,pyrilla
13.69,79.27,13.32,5.184,wheat,vegetative,1,high,aphids
13.32,67.43,0.14,6.372,wheat,seedling,1,medium,aphids
13.0,52.28,0.0,5.976,rice,seedling,0,low,none
14.16,43.23,0.0,3.528,sugarcane,vegetative,1,medium,pyrilla
14.72,45.75,0.0,4.428,rice,seedling,0,low,none
15.28,54.47,0.0,9.072000000000001,rice,vegetative,1,medium,aphids
14.56,54.46,0.0,5.904,cotton,seedling,0,low,none
14.83,43.26,0.0,5.184,cotton,flowering,1,high,aphids
15.56,41.55,0.0,5.292,cotton,flowering,1,high,aphids
14.84,37.71,0.0,5.724,wheat,vegetative,0,low,none
16.02,39.56,0.0,5.472,sugarcane,seedling,0,low,none
19.34,40.72,0.0,5.112,sugarcane,maturity,1,medium,pyrilla
18.8,44.07,0.0,4.212,sugarcane,seedling,0,low,none
18.3,45.7,1.11,8.604000000000001,sugarcane,flowering,1,high,pyrilla
19.02,53.3,6.55,3.708,cotton,flowering,0,medium,aphids
18.77,49.8,0.1,4.5360000000000005,wheat,seedling,0,low,none
18.2,57.45,2.86,4.428,wheat,seedling,1,medium,aphids
18.48,65.84,10.66,4.248,cotton,maturity,1,medium,aphids
19.64,55.26,0.0,7.776000000000001,wheat,maturity,1,medium,aphids
19.48,58.8,0.0,7.5600000000000005,cotton,seedling,0,low,none
20.89,51.25,0.0,2.9160000000000004,sugarcane,seedling,1,medium,pyrilla
20.54,49.62,0.0,5.4,cotton,seedling,0,low,none
17.34,56.28,10.7,12.852,sugarcane,seedling,0,low,none
14.16,35.49,0.0,3.7800000000000002,sugarcane,vegetative,1,medium,pyrilla
13.82,48.05,0.04,4.968,rice,seedling,0,low,none
14.68,46.13,0.06,6.228,cotton,maturity,0,low,none
14.72,83.79,45.91,11.520000000000001,rice,flowering,0,high,aphids
16.08,83.55,20.58,11.376000000000001,cotton,vegetative,1,high,aphids
14.72,71.12,2.09,4.680000000000001,cotton,seedling,0,low,none
14.82,65.86,1.22,6.012,rice,flowering,1,high,aphids
15.13,69.12,1.5,6.084,rice,vegetative,0,low,none
16.42,64.89,0.06,5.148,cotton,flowering,0,medium,aphids
16.41,65.19,2.49,3.636,wheat,seedling,1,medium,aphids
16.2,72.84,3.59,9.756,sugarcane,seedling,0,low,none
13.8,68.5,0.15,5.652,rice,maturity,0,medium,aphids
15.31,57.25,0.0,6.192,sugarcane,seedling,0,low,none
17.03,51.14,0.0,4.428,wheat,seedling,0,low,none
18.21,46.39,0.0,4.356,wheat,vegetative,1,medium,leaf_miner
19.4,41.89,0.0,3.9960000000000004,wheat,maturity,0,low,none
20.27,55.74,1.4,4.6080000000000005,rice,vegetative,1,high,aphids
18.55,73.84,10.38,10.116,wheat,flowering,0,medium,aphids
17.96,77.18,11.06,9.288,rice,seedling,0,medium,aphids
18.27,69.44,0.14,6.048,wheat,flowering,1,high,aphids
18.04,66.08,0.0,7.056,sugarcane,vegetative,0,low,none
19.76,54.82,0.0,5.867999999999999,sugarcane,seedling,0,low,none
20.82,51.0,0.0,5.688000000000001,cotton,seedling,0,low,none
22.1,55.79,0.0,5.688000000000001,sugarcane,vegetative,0,medium,pyrilla
22.86,57.62,0.0,7.668,cotton,vegetative,0,low,none
23.71,57.09,0.0,7.2,sugarcane,vegetative,0,medium,pyrilla
25.99,45.01,0.0,3.9240000000000004,rice,vegetative,0,medium,aphids
25.44,49.25,0.0,6.156,sugarcane,vegetative,0,medium,shoot_borer
25.36,48.36,0.0,4.5,cotton,seedling,0,low,none
25.18,41.21,0.0,6.9479999999999995,cotton,vegetative,0,low,none
26.3,37.86,0.03,4.932,wheat,seedling,0,low,none
22.2,55.5,3.81,8.172,rice,seedling,1,medium,aphids
22.08,70.07,10.57,6.9479999999999995,sugarcane,vegetative,1,high,pyrilla
23.08,62.43,0.15,3.3120000000000003,wheat,vegetative,0,medium,aphids
23.69,59.87,0.24,4.5360000000000005,sugarcane,maturity,1,medium,pyrilla
24.84,52.57,0.02,3.564,sugarcane,seedling,0,low,none
22.98,62.05,7.54,7.344,wheat,vegetative,0,medium,aphids
23.34,55.67,0.71,2.4120000000000004,wheat,vegetative,0,medium,aphids
22.97,55.08,0.01,5.472,wheat,vegetative,0,medium,aphids
23.58,54.78,0.68,6.588,wheat,maturity,0,low,none
21.11,69.07,4.96,5.148,wheat,maturity,0,low,none
23.13,56.42,0.04,4.752000000000001,sugarcane,flowering,0,medium,pyrilla
23.77,54.17,0.0,6.5520000000000005,wheat,seedling,1,medium,aphids
25.33,49.5,0.0,6.3,rice,flowering,0,medium,aphids
27.26,46.4,0.0,5.292,cotton,vegetative,0,low,none
24.98,58.58,0.93,6.264,wheat,maturity,1,medium,aphids
26.62,49.46,0.0,4.464,wheat,maturity,0,medium,leaf_miner
26.08,54.76,0.09,7.236,sugarcane,flowering,0,medium,shoot_borer
26.71,56.34,16.96,4.284,wheat,maturity,1,high,aphids
26.08,57.9,2.89,5.364,wheat,vegetative,1,high,aphids
26.32,57.42,0.75,9.107999999999999,wheat,maturity,1,high,aphids
28.52,47.9,0.0,6.803999999999999,sugarcane,flowering,1,high,shoot_borer
30.23,41.07,0.0,4.104,wheat,vegetative,1,high,leaf_miner
29.88,38.73,0.17,10.404,cotton,flowering,1,high,bollworm
28.3,42.63,0.0,9.144,sugarcane,maturity,0,low,none
28.6,38.29,0.0,7.812,cotton,flowering,0,medium,bollworm
30.42,29.78,0.0,5.148,sugarcane,flowering,0,medium,shoot_borer
31.24,28.57,0.0,3.456,wheat,seedling,0,medium,leaf_miner
31.83,29.8,0.0,4.428,cotton,maturity,1,high,bollworm
29.38,38.75,0.0,9.936,sugarcane,maturity,0,medium,shoot_borer
30.04,40.55,0.0,9.756,rice,flowering,0,medium,aphids
31.25,37.99,2.61,6.912,wheat,seedling,0,medium,leaf_miner
30.87,33.43,0.9,4.680000000000001,sugarcane,maturity,1,high,shoot_borer
29.99,35.89,0.47,8.532,rice,vegetative,0,low,none
28.44,42.33,6.33,8.208,sugarcane,flowering,1,high,shoot_borer
29.43,30.54,0.0,8.244,rice,maturity,0,medium,aphids
30.46,26.96,0.0,6.768,wheat,vegetative,0,medium,leaf_miner
30.76,27.05,0.0,6.9479999999999995,cotton,maturity,0,medium,bollworm
31.85,28.95,0.0,5.832000000000001,rice,vegetative,0,medium,aphids
33.04,30.87,0.0,5.508,sugarcane,flowering,1,high,shoot_borer
34.29,29.39,0.0,5.5440000000000005,wheat,maturity,1,high,leaf_miner
32.88,28.09,0.0,8.136,rice,maturity,0,medium,aphids
34.07,27.44,0.0,3.24,sugarcane,seedling,0,low,none
34.49,30.69,0.0,3.9960000000000004,sugarcane,flowering,0,high,shoot_borer
34.43,31.94,1.89,6.192,sugarcane,vegetative,1,high,shoot_borer
32.57,34.04,1.76,5.904,rice,maturity,1,high,aphids
30.71,43.32,5.0,6.84,rice,maturity,0,medium,aphids
30.52,45.97,4.14,4.644,rice,vegetative,0,medium,aphids
31.45,41.1,0.44,6.12,cotton,flowering,1,high,bollworm
32.9,33.32,1.12,6.228,rice,seedling,0,medium,aphids
33.72,28.14,0.0,5.292,rice,seedling,0,medium,aphids
35.55,30.74,0.0,5.004,rice,maturity,0,low,none
34.62,28.36,0.0,11.376000000000001,cotton,vegetative,0,low,none
33.78,25.78,0.28,10.728,rice,maturity,1,high,aphids
34.46,24.87,0.0,9.360000000000001,sugarcane,vegetative,1,high,shoot_borer
35.19,23.32,0.0,7.596,rice,seedling,0,low,none
36.28,21.65,0.0,5.292,sugarcane,flowering,0,medium,shoot_borer
37.1,18.45,0.0,5.58,sugarcane,vegetative,0,medium,shoot_borer
36.81,19.79,0.0,7.344,sugarcane,seedling,0,medium,shoot_borer
35.05,14.49,0.0,12.24,cotton,maturity,0,low,none
33.08,14.17,0.0,8.28,cotton,vegetative,0,medium,aphids
34.6,13.93,0.0,7.524,cotton,flowering,0,medium,aphids
35.21,18.44,0.04,9.864,rice,maturity,0,medium,aphids
35.73,19.64,0.0,10.116,sugarcane,maturity,0,medium,shoot_borer
35.94,20.31,0.07,5.076,cotton,seedling,0,medium,aphids
36.03,18.78,0.7,5.004,cotton,vegetative,0,medium,aphids
33.21,27.11,0.05,8.892000000000001,rice,maturity,0,medium,aphids
33.86,27.8,1.25,4.968,cotton,flowering,1,high,aphids
30.57,41.91,6.49,5.904,rice,vegetative,0,medium,aphids
33.3,36.17,0.21,5.004,wheat,flowering,0,medium,leaf_miner
34.53,27.34,0.0,9.432,cotton,maturity,1,high,aphids
36.26,21.68,0.0,5.256,wheat,flowering,1,high,leaf_miner
37.73,18.33,0.0,8.028,rice,seedling,0,low,none
38.08,18.52,0.18,10.08,sugarcane,flowering,1,high,shoot_borer
37.47,29.01,0.0,15.444,cotton,vegetative,0,medium,aphids
36.43,28.57,3.38,12.348,rice,flowering,0,medium,aphids
36.39,27.14,0.0,9.684,sugarcane,flowering,0,medium,shoot_borer
36.4,28.43,0.55,7.920000000000001,sugarcane,seedling,1,high,shoot_borer
34.86,34.18,2.98,13.716000000000001,wheat,flowering,1,high,leaf_miner
32.77,51.9,15.31,5.904,rice,flowering,0,medium,aphids
34.61,38.88,0.02,8.244,sugarcane,maturity,0,medium,shoot_borer
35.5,36.45,0.05,8.748000000000001,cotton,maturity,0,medium,aphids
36.55,32.77,0.05,6.912,cotton,vegetative,0,medium,aphids
37.53,31.66,0.13,6.84,wheat,maturity,0,medium,leaf_miner
35.55,36.12,2.05,12.564000000000002,sugarcane,maturity,1,high,shoot_borer
35.86,38.88,12.82,6.012,rice,maturity,1,high,aphids
34.79,39.27,4.5,6.192,cotton,maturity,1,high,aphids
35.47,39.47,2.96,4.968,sugarcane,seedling,1,high,shoot_borer
34.37,47.82,9.15,6.48,sugarcane,maturity,0,medium,shoot_borer
32.74,48.4,7.78,4.788,wheat,seedling,1,high,leaf_miner
33.48,36.18,0.0,9.972,cotton,seedling,0,low,none
34.02,39.32,0.08,8.784,cotton,maturity,0,medium,aphids
35.31,35.27,0.0,6.984,rice,flowering,0,high,aphids
35.61,35.32,0.69,7.956,cotton,seedling,0,medium,aphids
32.82,50.66,19.57,4.104,rice,flowering,0,high,aphids
34.19,40.53,0.0,5.004,cotton,flowering,0,high,aphids
34.06,43.22,0.21,7.164,wheat,maturity,1,high,leaf_miner
35.15,41.5,0.64,11.232000000000001,cotton,vegetative,0,medium,aphids
35.63,44.66,1.0,9.251999999999999,rice,maturity,0,medium,aphids
36.29,43.49,6.16,9.828,rice,vegetative,1,high,aphids
33.02,56.92,8.36,5.148,wheat,vegetative,0,medium,leaf_miner
31.89,60.94,9.31,8.568,cotton,maturity,0,medium,bollworm
32.42,56.57,10.88,5.22,cotton,maturity,0,medium,bollworm
33.51,51.63,4.2,6.048,wheat,vegetative,0,medium,leaf_miner
33.6,49.91,2.1,8.388,cotton,maturity,0,medium,aphids
29.56,70.81,26.06,6.66,cotton,vegetative,0,medium,whitefly
29.69,74.4,63.52,5.688000000000001,rice,flowering,0,high,stem_borer
30.71,66.14,2.93,3.2760000000000002,cotton,maturity,0,medium,bollworm
32.14,60.46,0.01,3.8160000000000003,cotton,flowering,0,high,bollworm
33.59,55.33,0.0,6.768,wheat,seedling,0,medium,leaf_miner
33.83,54.5,0.76,8.928,wheat,flowering,0,high,leaf_miner
30.81,73.25,61.9,4.464,sugarcane,flowering,1,high,top_borer
29.71,77.36,19.98,3.672,rice,vegetative,0,medium,stem_borer
30.1,72.32,3.08,3.096,cotton,flowering,0,high,whitefly
30.3,70.54,1.45,4.788,cotton,maturity,1,high,whitefly
31.08,69.01,1.72,3.8520000000000003,sugarcane,vegetative,0,high,shoot_borer
31.4,67.03,0.03,3.708,cotton,seedling,0,medium,bollworm
30.23,74.46,3.8,6.408,rice,maturity,0,medium,stem_borer
30.32,75.25,2.66,6.48,sugarcane,seedling,1,high,top_borer
30.76,73.37,6.11,5.688000000000001,rice,flowering,1,high,stem_borer
29.58,78.07,1.56,7.416,sugarcane,maturity,0,medium,top_borer
29.74,75.31,0.17,7.2,sugarcane,maturity,1,high,top_borer
29.79,70.78,0.65,8.64,wheat,seedling,0,medium,stem_borer
29.49,70.7,0.0,9.144,rice,maturity,0,medium,stem_borer
30.4,70.17,0.35,9.072000000000001,cotton,maturity,0,medium,whitefly
30.2,70.64,1.88,9.864,cotton,maturity,0,medium,whitefly
29.5,74.8,3.04,10.656,rice,flowering,1,high,stem_borer
28.54,79.92,8.78,8.604000000000001,cotton,seedling,0,medium,whitefly
30.0,73.22,1.95,5.508,cotton,maturity,0,medium,whitefly
31.67,64.94,0.05,5.364,rice,vegetative,1,high,aphids
32.17,62.79,4.27,5.508,sugarcane,vegetative,0,high,shoot_borer
32.35,61.83,11.68,4.824000000000001,rice,vegetative,0,medium,aphids
32.51,61.62,0.23,4.932,sugarcane,vegetative,0,medium,shoot_borer
31.45,65.27,4.64,6.408,cotton,flowering,1,high,bollworm
32.27,60.44,1.73,4.644,cotton,maturity,1,high,bollworm
32.62,56.05,0.46,4.104,cotton,seedling,0,medium,bollworm
32.8,53.37,0.2,5.904,wheat,maturity,1,high,leaf_miner
29.13,74.07,16.15,6.084,sugarcane,flowering,0,high,top_borer
30.16,67.69,5.28,3.204,wheat,vegetative,1,high,leaf_miner
31.45,66.65,1.08,4.6080000000000005,wheat,flowering,0,high,leaf_miner
31.3,69.78,9.76,5.796,rice,maturity,0,medium,aphids
30.83,69.26,1.76,5.04,wheat,seedling,1,high,leaf_miner
31.6,61.47,4.58,5.58,rice,flowering,0,high,aphids
31.53,65.14,12.03,5.904,rice,seedling,0,medium,aphids
31.2,63.3,5.43,6.768,wheat,flowering,0,high,leaf_miner
30.68,62.72,7.99,7.848000000000001,sugarcane,seedling,1,high,shoot_borer
30.44,66.01,13.04,5.9399999999999995,sugarcane,seedling,0,medium,shoot_borer
29.76,68.43,16.32,5.112,sugarcane,vegetative,0,medium,shoot_borer
30.38,63.3,0.31,4.968,sugarcane,seedling,0,medium,shoot_borer
30.86,61.53,0.49,5.364,sugarcane,vegetative,0,medium,shoot_borer
30.78,58.45,0.0,6.803999999999999,wheat,maturity,0,high,leaf_miner
30.94,57.94,0.0,5.832000000000001,wheat,maturity,1,high,leaf_miner
31.88,53.66,0.0,3.8160000000000003,cotton,vegetative,1,high,bollworm
31.03,58.17,0.46,5.076,sugarcane,vegetative,0,high,shoot_borer
